step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung,bank1,bank2,bank3,bank4,bank5,banktot,bankmean
115000,87,39,102,365,316,520,0.0957,0.0429,0.1122,0.4015,0.3476,3.8625,227,46,38,55,37,403,2.0794
116000,114,40,102,381,329,477,0.1180,0.0414,0.1056,0.3944,0.3406,3.7981,231,47,39,57,38,412,2.0874
117000,109,38,96,408,345,442,0.1094,0.0382,0.0964,0.4096,0.3464,3.8454,234,47,39,59,39,418,2.0957
118000,93,34,105,416,368,438,0.0915,0.0335,0.1033,0.4094,0.3622,3.9173,234,47,41,59,39,420,2.1000
119000,88,44,99,406,390,447,0.0857,0.0428,0.0964,0.3953,0.3797,3.9406,235,47,41,62,40,425,2.1176
120000,98,42,86,416,390,397,0.0950,0.0407,0.0833,0.4031,0.3779,3.9283,238,48,41,65,40,432,2.1227
121000,100,34,112,425,412,353,0.0923,0.0314,0.1034,0.3924,0.3804,3.9372,238,48,43,68,40,437,2.1396
122000,111,40,119,451,438,322,0.0958,0.0345,0.1027,0.3891,0.3779,3.9189,241,48,43,70,40,442,2.1403
123000,94,50,105,454,451,337,0.0815,0.0433,0.0910,0.3934,0.3908,3.9688,243,49,43,72,40,447,2.1432
124000,97,44,98,486,460,287,0.0819,0.0371,0.0827,0.4101,0.3882,3.9857,247,49,43,72,41,452,2.1394
125000,104,46,104,470,475,293,0.0867,0.0384,0.0867,0.3920,0.3962,3.9725,249,49,43,73,41,455,2.1385
126000,100,41,126,486,476,258,0.0814,0.0334,0.1025,0.3954,0.3873,3.9740,250,49,43,75,44,461,2.1627
127000,109,38,119,496,501,239,0.0863,0.0301,0.0942,0.3927,0.3967,3.9834,249,49,43,75,44,460,2.1652
128000,110,46,119,488,512,228,0.0863,0.0361,0.0933,0.3827,0.4016,3.9773,251,49,43,77,44,464,2.1681
129000,109,53,122,497,544,184,0.0823,0.0400,0.0921,0.3751,0.4106,3.9917,252,49,44,79,46,470,2.1872
130000,114,45,127,480,574,165,0.0851,0.0336,0.0948,0.3582,0.4284,4.0112,254,49,44,82,46,475,2.1937
131000,134,46,132,483,595,145,0.0964,0.0331,0.0950,0.3475,0.4281,3.9777,255,49,44,82,49,479,2.2088
132000,130,54,127,488,589,124,0.0937,0.0389,0.0915,0.3516,0.4244,3.9741,256,49,46,86,48,485,2.2186
133000,147,50,143,491,606,80,0.1023,0.0348,0.0995,0.3417,0.4217,3.9457,256,49,47,88,48,488,2.2275
134000,163,49,144,495,620,55,0.1108,0.0333,0.0979,0.3365,0.4215,3.9245,257,49,48,89,49,492,2.2358
135000,191,53,156,501,618,23,0.1257,0.0349,0.1027,0.3298,0.4068,3.8571,256,49,49,91,49,494,2.2470
136000,229,55,165,504,589,8,0.1485,0.0357,0.1070,0.3268,0.3820,3.7581,253,49,49,90,53,494,2.2733
137000,303,68,197,466,511,0,0.1961,0.0440,0.1275,0.3016,0.3307,3.5269,252,49,49,94,57,501,2.3114
