step,pop1,pop2,pop3,pop4,pop5,fire,share1,share2,share3,share4,share5,meanrung
217000,1,15,149,609,615,419,0.0007,0.0108,0.1073,0.4384,0.4428,4.3117
218000,0,17,156,639,686,317,0.0000,0.0113,0.1041,0.4266,0.4579,4.3311
219000,0,8,149,702,747,334,0.0000,0.0050,0.0928,0.4371,0.4651,4.3624
220000,1,2,114,688,788,330,0.0006,0.0013,0.0716,0.4319,0.4947,4.4187
221000,2,6,102,690,820,286,0.0012,0.0037,0.0630,0.4259,0.5062,4.4321
222000,5,3,114,729,840,260,0.0030,0.0018,0.0674,0.4311,0.4967,4.4169
223000,0,2,99,728,880,236,0.0000,0.0012,0.0579,0.4260,0.5149,4.4547
224000,0,5,110,739,934,185,0.0000,0.0028,0.0615,0.4133,0.5224,4.4553
225000,0,2,104,749,958,171,0.0000,0.0011,0.0574,0.4131,0.5284,4.4688
226000,0,2,94,767,1015,119,0.0000,0.0011,0.0501,0.4084,0.5405,4.4883
227000,1,3,98,787,1063,64,0.0005,0.0015,0.0502,0.4032,0.5446,4.4898
228000,1,4,90,777,1107,40,0.0005,0.0020,0.0455,0.3926,0.5594,4.5083
229000,0,10,100,778,1146,6,0.0000,0.0049,0.0492,0.3825,0.5634,4.5044
230000,0,11,109,779,1134,10,0.0000,0.0054,0.0536,0.3832,0.5578,4.4934
231000,1,19,131,803,1087,0,0.0005,0.0093,0.0642,0.3934,0.5326,4.4483
232000,1,28,149,823,1042,0,0.0005,0.0137,0.0729,0.4028,0.5100,4.4082
233000,2,37,191,837,978,0,0.0010,0.0181,0.0934,0.4093,0.4782,4.3457
234000,8,44,236,837,918,0,0.0039,0.0215,0.1155,0.4097,0.4493,4.2790
235000,13,54,257,845,870,6,0.0064,0.0265,0.1260,0.4144,0.4267,4.2285
236000,17,70,288,838,833,0,0.0083,0.0342,0.1408,0.4096,0.4071,4.1730
237000,22,82,325,858,757,0,0.0108,0.0401,0.1590,0.4198,0.3704,4.0988
238000,28,101,371,850,694,0,0.0137,0.0494,0.1815,0.4159,0.3395,4.0181
239000,40,124,405,852,625,0,0.0196,0.0606,0.1979,0.4164,0.3055,3.9277
240000,48,155,440,864,541,0,0.0234,0.0757,0.2148,0.4219,0.2642,3.8276
241000,63,181,493,825,486,0,0.0308,0.0884,0.2407,0.4028,0.2373,3.7275
242000,75,216,527,811,417,0,0.0367,0.1056,0.2576,0.3964,0.2038,3.6251
243000,93,247,575,783,348,0,0.0455,0.1207,0.2810,0.3827,0.1701,3.5112
244000,120,282,617,738,287,0,0.0587,0.1380,0.3019,0.3611,0.1404,3.3865
245000,154,329,660,675,228,0,0.0753,0.1608,0.3226,0.3299,0.1114,3.2414
246000,198,381,677,613,179,0,0.0967,0.1860,0.3306,0.2993,0.0874,3.0947
247000,213,388,656,569,159,43,0.1073,0.1955,0.3305,0.2866,0.0801,3.0368
248000,213,324,592,572,169,118,0.1139,0.1733,0.3166,0.3059,0.0904,3.0856
249000,188,300,552,568,205,156,0.1037,0.1655,0.3045,0.3133,0.1131,3.1666
250000,164,276,489,628,241,189,0.0912,0.1535,0.2720,0.3493,0.1340,3.2814
251000,142,242,441,617,274,219,0.0828,0.1410,0.2570,0.3596,0.1597,3.3724
252000,141,238,422,651,313,203,0.0799,0.1348,0.2391,0.3688,0.1773,3.4289
253000,138,238,395,668,336,200,0.0777,0.1341,0.2225,0.3763,0.1893,3.4654
254000,118,228,357,674,353,218,0.0682,0.1318,0.2064,0.3896,0.2040,3.5295
255000,99,199,323,696,401,249,0.0576,0.1158,0.1880,0.4051,0.2334,3.6409
256000,49,170,287,672,415,339,0.0308,0.1067,0.1802,0.4218,0.2605,3.7746
257000,27,105,269,686,448,335,0.0176,0.0684,0.1752,0.4469,0.2919,3.9270
258000,9,73,216,717,476,358,0.0060,0.0490,0.1449,0.4809,0.3192,4.0584
259000,5,30,191,730,507,381,0.0034,0.0205,0.1306,0.4990,0.3465,4.1647
260000,3,35,174,728,547,385,0.0020,0.0235,0.1170,0.4896,0.3679,4.1977
261000,3,21,167,713,580,381,0.0020,0.0142,0.1125,0.4805,0.3908,4.2439
262000,6,14,148,743,626,336,0.0039,0.0091,0.0963,0.4834,0.4073,4.2811
263000,1,12,147,767,643,336,0.0006,0.0076,0.0936,0.4885,0.4096,4.2987
264000,0,11,124,766,677,347,0.0000,0.0070,0.0786,0.4854,0.4290,4.3365
265000,0,7,119,795,695,299,0.0000,0.0043,0.0736,0.4920,0.4301,4.3478
266000,13,6,113,778,712,306,0.0080,0.0037,0.0697,0.4797,0.4390,4.3379
267000,6,6,106,801,774,245,0.0035,0.0035,0.0626,0.4731,0.4572,4.3768
268000,6,12,89,811,813,228,0.0035,0.0069,0.0514,0.4685,0.4697,4.3940
269000,9,11,99,792,863,190,0.0051,0.0062,0.0558,0.4464,0.4865,4.4030
270000,0,15,81,807,926,149,0.0000,0.0082,0.0443,0.4412,0.5063,4.4456
271000,0,15,79,814,983,110,0.0000,0.0079,0.0418,0.4305,0.5198,4.4622
272000,0,15,75,821,1024,90,0.0000,0.0078,0.0388,0.4243,0.5292,4.4749
273000,0,12,78,827,1072,39,0.0000,0.0060,0.0392,0.4158,0.5390,4.4877
274000,0,16,92,833,1091,8,0.0000,0.0079,0.0453,0.4099,0.5369,4.4759
275000,5,25,114,856,1045,0,0.0024,0.0122,0.0557,0.4186,0.5110,4.4235
276000,16,33,129,890,977,0,0.0078,0.0161,0.0631,0.4352,0.4778,4.3589
277000,26,48,149,890,930,0,0.0127,0.0235,0.0729,0.4356,0.4552,4.2971
278000,44,67,191,890,853,0,0.0215,0.0328,0.0934,0.4352,0.4171,4.1936
279000,61,86,221,896,779,0,0.0299,0.0421,0.1082,0.4386,0.3813,4.0994
280000,80,117,265,898,683,0,0.0392,0.0573,0.1297,0.4395,0.3343,3.9726
281000,103,151,302,903,588,0,0.0503,0.0738,0.1475,0.4411,0.2872,3.8412
282000,130,178,340,890,507,0,0.0636,0.0870,0.1663,0.4352,0.2479,3.7169
283000,170,209,371,873,424,0,0.0830,0.1021,0.1812,0.4265,0.2071,3.5725
284000,207,246,413,830,349,0,0.1012,0.1203,0.2020,0.4059,0.1707,3.4244
285000,254,279,443,774,297,0,0.1241,0.1363,0.2164,0.3781,0.1451,3.2838
286000,310,319,468,702,248,0,0.1514,0.1558,0.2286,0.3429,0.1212,3.1265
287000,362,342,489,645,207,0,0.1770,0.1672,0.2391,0.3154,0.1012,2.9966
288000,427,378,514,569,159,0,0.2086,0.1847,0.2511,0.2780,0.0777,2.8315
289000,506,421,507,486,127,0,0.2472,0.2057,0.2477,0.2374,0.0620,2.6615
290000,606,451,505,401,84,0,0.2960,0.2203,0.2467,0.1959,0.0410,2.4656
291000,715,487,474,310,61,0,0.3493,0.2379,0.2316,0.1514,0.0298,2.2745
292000,837,526,437,210,37,0,0.4089,0.2570,0.2135,0.1026,0.0181,2.0640
293000,988,549,350,133,27,0,0.4827,0.2682,0.1710,0.0650,0.0132,1.8578
294000,1160,561,257,61,8,0,0.5667,0.2741,0.1255,0.0298,0.0039,1.6302
295000,1009,510,204,38,9,196,0.5701,0.2881,0.1153,0.0215,0.0051,1.6034
296000,789,402,198,47,14,398,0.5441,0.2772,0.1366,0.0324,0.0097,1.6862
297000,653,326,182,59,22,491,0.5258,0.2625,0.1465,0.0475,0.0177,1.7689
298000,494,262,174,89,41,554,0.4660,0.2472,0.1642,0.0840,0.0387,1.9821
299000,356,211,171,105,65,664,0.3921,0.2324,0.1883,0.1156,0.0716,2.2423
300000,238,178,181,127,97,731,0.2899,0.2168,0.2205,0.1547,0.1181,2.5944
300000,238,178,181,127,97,731,0.2899,0.2168,0.2205,0.1547,0.1181,2.5944
