arm,m,seed,res_f,res_s,ext_ev_f,ext_ev_s,phi0_cross,phi0_own,n_ext_samples,b_base,b_pair,b_dpair,min_cross_share,sp_overlap_exc,sp_drift_R,runlen_obs,runlen_null
paraonly,2,21,201,26,7527,196,0.170,0,212,5665,0,2242,0.772,0.126,0.729,1.456,1.249
paraonly,2,22,190,23,6937,130,0.155,0,194,5452,0,2460,0.789,0.070,0.278,1.347,1.221
paraonly,2,23,200,18,7847,169,0.151,0,218,5583,0,2318,0.796,-0.029,,1.432,1.277
paraonly,2,24,201,19,8354,150,0.161,0,230,5721,0,2178,0.785,0.078,0.420,1.459,1.148
paraonly,2,25,224,32,7384,240,0.178,0,208,5650,0,2252,0.769,0.043,,1.524,1.251
paraonly,2,26,180,20,6324,146,0.159,0,170,5381,0,2552,0.785,-0.013,0.433,1.474,1.220
paraonly,2,27,205,19,7689,149,0.153,0,209,5618,0,2286,0.768,0.090,0.711,1.454,1.192
paraonly,2,28,209,23,7817,179,0.155,0,219,5667,0,2236,0.772,0.017,,1.427,1.268
paraonly,2,29,228,20,7535,200,0.179,0,207,5598,0,2316,0.770,0.060,0.368,1.443,1.201
paraonly,2,30,213,33,7481,297,0.207,0,217,5524,0,2384,0.764,-0.063,,1.421,1.192
paraonly,2,31,187,19,7694,167,0.167,0,209,5609,0,2308,0.766,0.013,,1.423,1.290
paraonly,2,32,173,25,7545,260,0.148,0,216,5636,0,2280,0.754,0.032,,1.512,1.220
