arm,m,seed,tape_lastq,runmean_lastq
base,6,52,18.725,9.277
base,6,53,18.700,8.860
base,6,54,13.350,3.431
base,6,55,18.817,9.102
base,6,56,13.183,3.668
base,6,57,13.775,3.806
base,6,58,13.492,3.743
base,6,59,13.233,3.329
base,6,60,13.500,3.493
base,6,61,13.542,3.671
base,6,62,13.583,3.775
base,6,63,18.750,9.238
base,6,64,13.258,3.613
base,8,1,17.150,6.475
base,8,2,19.658,12.902
base,8,3,19.583,12.062
base,8,4,16.242,5.309
base,8,5,16.142,4.923
base,8,6,16.867,5.908
base,8,7,16.358,5.508
base,8,8,19.675,12.192
base,8,9,16.483,5.455
base,8,10,18.775,5.306
base,8,11,19.725,12.815
base,8,12,19.692,12.258
base,8,13,16.417,5.056
base,8,14,19.908,13.938
base,8,15,16.650,5.713
base,8,16,19.717,13.167
base,8,17,16.475,5.466
base,8,18,16.567,5.615
base,8,19,19.808,13.179
base,8,20,16.042,4.696
base,8,21,19.792,13.834
base,8,22,19.858,13.079
base,8,23,16.000,4.612
base,8,24,19.683,12.914
base,8,25,19.583,11.713
base,8,26,19.908,13.692
base,8,27,16.808,5.662
base,8,28,19.733,12.822
base,8,29,19.500,9.870
base,8,30,16.792,5.391
base,8,31,19.850,13.034
base,8,32,19.608,11.530
base,8,33,16.150,5.228
base,8,34,16.708,5.992
base,8,35,16.408,5.116
base,8,36,16.892,5.773
base,8,37,16.300,5.315
base,8,38,19.675,12.785
base,8,39,19.725,12.387
base,8,40,16.767,5.953
base,8,41,16.625,5.751
base,8,42,16.450,5.526
base,8,43,19.833,13.343
base,8,44,16.717,4.571
base,8,45,17.167,6.185
base,8,46,19.792,13.000
base,8,47,16.250,4.966
base,8,48,19.758,12.717
base,8,49,19.775,12.879
base,8,50,16.975,6.014
base,8,51,19.775,13.719
base,8,52,19.717,13.227
base,8,53,19.750,12.945
base,8,54,16.633,5.578
base,8,55,19.767,13.014
base,8,56,19.742,13.057
base,8,57,16.842,5.638
base,8,58,16.742,5.572
base,8,59,17.258,5.016
base,8,60,16.533,5.339
base,8,61,16.492,5.086
base,8,62,17.850,4.558
base,8,63,19.800,13.726
base,8,64,19.783,12.997
pair,2,1,8.658,3.048
pair,2,2,1.677,2.005
pair,2,3,1.853,1.989
pair,2,4,1.928,1.992
pair,2,5,1.705,2.063
pair,2,6,9.625,2.983
pair,2,7,8.983,3.341
pair,2,8,10.525,3.103
pair,2,9,1.802,2.039
