init,m,mu,seed,winner,t_death,path,t_birth1,t_birth2,t_birth3,births1,births2,births3,mutations,fitness_lastq,share1,share2,share3,pokes
slow,2,0.010,14,FIX1,,3>1,151,467,1,4413,165,159,681,0.963,0.934,0.038,0.027,10666
slow,2,0.010,15,FIX1,,3>1>2>1,145,191,1,4429,170,124,645,0.971,0.950,0.027,0.023,10666
slow,2,0.010,16,DEAD,234,3,136,,1,2,0,14,34,0.333,0.000,0.000,1.000,36
slow,2,0.010,17,DEAD,237,3,148,142,1,3,3,13,23,0.483,0.200,0.100,0.700,37
slow,2,0.010,18,DEAD,17583,3>1>3>1,157,151,1,2400,114,95,370,0.966,0.941,0.036,0.024,5819
slow,2,0.010,19,DEAD,1749,3>1>2>1,130,140,1,211,27,12,62,0.881,0.765,0.224,0.011,541
slow,2,0.010,20,DEAD,20244,3>1>2>1>2>1,131,152,1,2794,128,105,445,0.963,0.936,0.034,0.030,6706
slow,2,0.010,21,DEAD,13230,3>1>2,148,145,1,1767,79,74,298,0.968,0.941,0.040,0.018,4368
slow,2,0.010,22,DEAD,18735,3>1>2,137,131,1,2600,82,85,389,0.971,0.945,0.042,0.013,6203
slow,2,0.010,23,DEAD,303,3,139,190,1,8,1,11,30,0.500,0.200,0.200,0.600,59
slow,2,0.010,24,DEAD,840,3>1>2,185,130,1,66,18,16,48,0.824,0.656,0.319,0.025,238
fast,inf,0.001,1,FIX1,,1,1,,,0,0,0,1432,0.989,0.981,0.009,0.010,0
fast,inf,0.001,2,FIX1,,1,1,,,0,0,0,1438,0.988,0.979,0.011,0.010,0
fast,inf,0.001,3,FIX1,,1,1,,,0,0,0,1381,0.988,0.979,0.010,0.011,0
fast,inf,0.001,4,FIX1,,1,1,,,0,0,0,1401,0.989,0.981,0.011,0.009,0
fast,inf,0.001,5,FIX1,,1,1,,,0,0,0,1392,0.989,0.981,0.012,0.007,0
fast,inf,0.001,6,FIX1,,1,1,,,0,0,0,1384,0.986,0.976,0.012,0.012,0
fast,inf,0.001,7,FIX1,,1,1,,,0,0,0,1361,0.990,0.982,0.008,0.009,0
fast,inf,0.001,8,FIX1,,1,1,,,0,0,0,1384,0.989,0.981,0.010,0.010,0
fast,inf,0.001,9,FIX1,,1,1,,,0,0,0,1371,0.986,0.975,0.012,0.013,0
fast,inf,0.001,10,FIX1,,1,1,,,0,0,0,1433,0.989,0.980,0.012,0.008,0
fast,inf,0.001,11,FIX1,,1,1,,,0,0,0,1440,0.989,0.981,0.010,0.009,0
fast,inf,0.001,12,FIX1,,1,1,,,0,0,0,1311,0.990,0.982,0.009,0.009,0
fast,inf,0.001,13,FIX1,,1,1,,,0,0,0,1411,0.986,0.977,0.011,0.012,0
fast,inf,0.001,14,FIX1,,1,1,,,0,0,0,1434,0.986,0.976,0.011,0.013,0
fast,inf,0.001,15,FIX1,,1,1,,,0,0,0,1383,0.987,0.977,0.012,0.010,0
fast,inf,0.001,16,FIX1,,1,1,,,0,0,0,1426,0.985,0.975,0.011,0.014,0
fast,inf,0.001,17,FIX1,,1,1,,,0,0,0,1438,0.988,0.981,0.009,0.011,0
fast,inf,0.001,18,FIX1,,1,1,,,0,0,0,1354,0.985,0.974,0.013,0.013,0
fast,inf,0.001,19,FIX1,,1,1,,,0,0,0,1387,0.989,0.981,0.010,0.008,0
fast,inf,0.001,20,FIX1,,1,1,,,0,0,0,1404,0.986,0.977,0.011,0.012,0
fast,inf,0.001,21,FIX1,,1,1,,,0,0,0,1456,0.984,0.974,0.012,0.014,0
fast,inf,0.001,22,FIX1,,1,1,,,0,0,0,1408,0.987,0.978,0.008,0.013,0
fast,inf,0.001,23,FIX1,,1,1,,,0,0,0,1405,0.986,0.976,0.014,0.010,0
fast,inf,0.001,24,FIX1,,1,1,,,0,0,0,1359,0.986,0.976,0.012,0.011,0
fast,inf,0.003,1,FIX1,,1,1,,,0,0,0,3897,0.961,0.934,0.032,0.035,0
fast,inf,0.003,2,FIX1,,1,1,,,0,0,0,3837,0.964,0.938,0.032,0.030,0
fast,inf,0.003,3,FIX1,,1,1,,,0,0,0,3871,0.966,0.942,0.030,0.028,0
fast,inf,0.003,4,FIX1,,1,1,,,0,0,0,3867,0.961,0.933,0.035,0.032,0
fast,inf,0.003,5,FIX1,,1,1,,,0,0,0,3861,0.963,0.937,0.029,0.034,0
fast,inf,0.003,6,FIX1,,1,1,,,0,0,0,3994,0.962,0.934,0.038,0.028,0
fast,inf,0.003,7,FIX1,,1,1,,,0,0,0,3807,0.966,0.942,0.030,0.028,0
fast,inf,0.003,8,FIX1,,1,1,,,0,0,0,3901,0.963,0.936,0.034,0.030,0
fast,inf,0.003,9,FIX1,,1,1,,,0,0,0,3846,0.965,0.939,0.033,0.028,0
fast,inf,0.003,10,FIX1,,1,1,,,0,0,0,3957,0.966,0.942,0.029,0.030,0
fast,inf,0.003,11,FIX1,,1,1,,,0,0,0,3945,0.966,0.942,0.030,0.028,0
fast,inf,0.003,12,FIX1,,1,1,,,0,0,0,3862,0.960,0.931,0.039,0.031,0
fast,inf,0.003,13,FIX1,,1,1,,,0,0,0,3794,0.964,0.938,0.034,0.028,0
fast,inf,0.003,14,FIX1,,1,1,,,0,0,0,3864,0.964,0.938,0.032,0.030,0
