lambda,wi,wr,seed,events,score,extinct
0.4375,14,32,179,1,-1,1
0.4375,14,32,180,569,-1,1
0.4375,14,32,181,1,-1,1
0.4375,14,32,182,3,-1,1
0.4375,14,32,183,81,-1,1
0.4375,14,32,184,187,-1,1
0.4375,14,32,185,1,-1,1
0.4375,14,32,186,7,-1,1
0.4375,14,32,187,33,-1,1
0.4375,14,32,188,1,-1,1
0.4375,14,32,189,1,-1,1
0.4375,14,32,190,1,-1,1
0.4375,14,32,191,11,-1,1
0.4375,14,32,192,1,-1,1
0.4375,14,32,193,50000,126,0
0.4375,14,32,194,1,-1,1
0.4375,14,32,195,9,-1,1
0.4375,14,32,196,1,-1,1
0.4375,14,32,197,1,-1,1
0.4375,14,32,198,50000,90,0
0.4375,14,32,199,3,-1,1
0.4375,14,32,200,1,-1,1
0.4688,15,32,1,50000,98,0
0.4688,15,32,2,45,-1,1
0.4688,15,32,3,50000,104,0
0.4688,15,32,4,3,-1,1
0.4688,15,32,5,1,-1,1
0.4688,15,32,6,1,-1,1
0.4688,15,32,7,31,-1,1
0.4688,15,32,8,50000,164,0
0.4688,15,32,9,1,-1,1
0.4688,15,32,10,35,-1,1
0.4688,15,32,11,3,-1,1
0.4688,15,32,12,71,-1,1
0.4688,15,32,13,13,-1,1
0.4688,15,32,14,11,-1,1
0.4688,15,32,15,50000,174,0
0.4688,15,32,16,1,-1,1
0.4688,15,32,17,3,-1,1
0.4688,15,32,18,50000,156,0
0.4688,15,32,19,1,-1,1
0.4688,15,32,20,1,-1,1
0.4688,15,32,21,3,-1,1
0.4688,15,32,22,13,-1,1
0.4688,15,32,23,7,-1,1
0.4688,15,32,24,1,-1,1
0.4688,15,32,25,50000,198,0
0.4688,15,32,26,295,-1,1
0.4688,15,32,27,3,-1,1
0.4688,15,32,28,7,-1,1
0.4688,15,32,29,13,-1,1
0.4688,15,32,30,1,-1,1
0.4688,15,32,31,505,-1,1
0.4688,15,32,32,50000,140,0
0.4688,15,32,33,1,-1,1
0.4688,15,32,34,1,-1,1
0.4688,15,32,35,5,-1,1
0.4688,15,32,36,50000,196,0
0.4688,15,32,37,1,-1,1
0.4688,15,32,38,50000,96,0
0.4688,15,32,39,3,-1,1
0.4688,15,32,40,3,-1,1
0.4688,15,32,41,5,-1,1
0.4688,15,32,42,1,-1,1
0.4688,15,32,43,50000,146,0
0.4688,15,32,44,5,-1,1
0.4688,15,32,45,50000,128,0
0.4688,15,32,46,50000,160,0
0.4688,15,32,47,49,-1,1
0.4688,15,32,48,50000,194,0
0.4688,15,32,49,1,-1,1
0.4688,15,32,50,3,-1,1
0.4688,15,32,51,50000,132,0
0.4688,15,32,52,29,-1,1
0.4688,15,32,53,50000,136,0
0.4688,15,32,54,1,-1,1
0.4688,15,32,55,1,-1,1
0.4688,15,32,56,1,-1,1
0.4688,15,32,57,7,-1,1
0.4688,15,32,58,50000,134,0
0.4688,15,32,59,1,-1,1
0.4688,15,32,60,5,-1,1
0.4688,15,32,61,50000,134,0
0.4688,15,32,62,50000,180,0
0.4688,15,32,63,5,-1,1
0.4688,15,32,64,50000,130,0
0.4688,15,32,65,1,-1,1
0.4688,15,32,66,1,-1,1
0.4688,15,32,67,3,-1,1
0.4688,15,32,68,50000,130,0
0.4688,15,32,69,91,-1,1
0.4688,15,32,70,50000,162,0
0.4688,15,32,71,50000,116,0
0.4688,15,32,72,1,-1,1
0.4688,15,32,73,1,-1,1
0.4688,15,32,74,50000,110,0
0.4688,15,32,75,13,-1,1
0.4688,15,32,76,1,-1,1
0.4688,15,32,77,1,-1,1
0.4688,15,32,78,13,-1,1
0.4688,15,32,79,1,-1,1
0.4688,15,32,80,3,-1,1
0.4688,15,32,81,15,-1,1
0.4688,15,32,82,9,-1,1
0.4688,15,32,83,50000,180,0
0.4688,15,32,84,1,-1,1
0.4688,15,32,85,11,-1,1
0.4688,15,32,86,5,-1,1
0.4688,15,32,87,1,-1,1
0.4688,15,32,88,1,-1,1
0.4688,15,32,89,367,-1,1
0.4688,15,32,90,3,-1,1
0.4688,15,32,91,3,-1,1
0.4688,15,32,92,50000,122,0
0.4688,15,32,93,61,-1,1
0.4688,15,32,94,1,-1,1
0.4688,15,32,95,50000,152,0
0.4688,15,32,96,3,-1,1
0.4688,15,32,97,50000,94,0
0.4688,15,32,98,1,-1,1
0.4688,15,32,99,50000,148,0
0.4688,15,32,100,1,-1,1
0.4688,15,32,101,3,-1,1
0.4688,15,32,102,1,-1,1
0.4688,15,32,103,3,-1,1
0.4688,15,32,104,1,-1,1
0.4688,15,32,105,45,-1,1
0.4688,15,32,106,87,-1,1
0.4688,15,32,107,1,-1,1
0.4688,15,32,108,25,-1,1
0.4688,15,32,109,7,-1,1
0.4688,15,32,110,50000,130,0
0.4688,15,32,111,50000,158,0
0.4688,15,32,112,1,-1,1
0.4688,15,32,113,3,-1,1
0.4688,15,32,114,7,-1,1
0.4688,15,32,115,1,-1,1
0.4688,15,32,116,1,-1,1
0.4688,15,32,117,50000,170,0
0.4688,15,32,118,50000,162,0
0.4688,15,32,119,1,-1,1
0.4688,15,32,120,17,-1,1
0.4688,15,32,121,50000,118,0
0.4688,15,32,122,103,-1,1
0.4688,15,32,123,1,-1,1
0.4688,15,32,124,23,-1,1
0.4688,15,32,125,1,-1,1
0.4688,15,32,126,1,-1,1
0.4688,15,32,127,50000,124,0
0.4688,15,32,128,50000,166,0
0.4688,15,32,129,131,-1,1
0.4688,15,32,130,1,-1,1
0.4688,15,32,131,50000,166,0
0.4688,15,32,132,1,-1,1
0.4688,15,32,133,50000,142,0
0.4688,15,32,134,87,-1,1
0.4688,15,32,135,27,-1,1
0.4688,15,32,136,1,-1,1
0.4688,15,32,137,1,-1,1
0.4688,15,32,138,50000,154,0
0.4688,15,32,139,1,-1,1
0.4688,15,32,140,1,-1,1
0.4688,15,32,141,1,-1,1
0.4688,15,32,142,50000,116,0
0.4688,15,32,143,50000,156,0
0.4688,15,32,144,1,-1,1
0.4688,15,32,145,50000,120,0
