p,threads,seed,events,size
0.60,1,73,3867,1933
0.60,1,74,3803,1901
0.60,1,75,3017,1508
0.60,1,76,3763,1881
0.60,1,77,3939,1969
0.60,1,78,3749,1874
0.60,1,79,3797,1898
0.60,1,80,3819,1909
0.60,1,81,1,0
0.60,1,82,3895,1947
0.60,1,83,3733,1866
0.60,1,84,3881,1940
0.60,1,85,3273,1636
0.60,1,86,3483,1741
0.60,1,87,1,0
0.60,1,88,3781,1890
0.60,1,89,3845,1922
0.60,1,90,3855,1927
0.60,1,91,3879,1939
0.60,1,92,3727,1863
0.60,1,93,1,0
0.60,1,94,3823,1911
0.60,1,95,3907,1953
0.60,1,96,3841,1920
0.60,1,97,37,18
0.60,1,98,3789,1894
0.60,1,99,1,0
0.60,1,100,3793,1896
0.60,1,101,3895,1947
0.60,1,102,3613,1806
0.60,1,103,3863,1931
0.60,1,104,3889,1944
0.60,1,105,3797,1898
0.60,1,106,3851,1925
0.60,1,107,3905,1952
0.60,1,108,3757,1878
0.60,1,109,3,1
0.60,1,110,3911,1955
0.60,1,111,3817,1908
0.60,1,112,3881,1940
0.60,1,113,3839,1919
0.60,1,114,3,1
0.60,1,115,3577,1788
0.60,1,116,1,0
0.60,1,117,3883,1941
0.60,1,118,3833,1916
0.60,1,119,3887,1943
0.60,1,120,3829,1914
0.60,1,121,3855,1927
0.60,1,122,1,0
0.60,1,123,3817,1908
0.60,1,124,3765,1882
0.60,1,125,3777,1888
0.60,1,126,3005,1502
0.60,1,127,3907,1953
0.60,1,128,9,4
0.60,1,129,3847,1923
0.60,1,130,3803,1901
0.60,1,131,3839,1919
0.60,1,132,3931,1965
0.60,1,133,3679,1839
0.60,1,134,3869,1934
0.60,1,135,3857,1928
0.60,1,136,3887,1943
0.60,1,137,3,1
0.60,1,138,3871,1935
0.60,1,139,3911,1955
0.60,1,140,3831,1915
0.60,1,141,3795,1897
0.60,1,142,3683,1841
0.60,1,143,3923,1961
0.60,1,144,1,0
0.60,1,145,1,0
0.60,1,146,3933,1966
0.60,1,147,3883,1941
0.60,1,148,3875,1937
0.60,1,149,3759,1879
0.60,1,150,1,0
0.60,1,151,3875,1937
0.60,1,152,3821,1910
0.60,1,153,3855,1927
0.60,1,154,3979,1989
0.60,1,155,3869,1934
0.60,1,156,1,0
0.60,1,157,3851,1925
0.60,1,158,3745,1872
0.60,1,159,3729,1864
0.60,1,160,3739,1869
0.60,1,161,1,0
0.60,1,162,3797,1898
0.60,1,163,3853,1926
0.60,1,164,3697,1848
0.60,1,165,3851,1925
0.60,1,166,3725,1862
0.60,1,167,3867,1933
0.60,1,168,1,0
0.60,1,169,3801,1900
0.60,1,170,3759,1879
0.60,1,171,3625,1812
0.60,1,172,3903,1951
0.60,1,173,3817,1908
0.60,1,174,5,2
0.60,1,175,3801,1900
0.60,1,176,3797,1898
0.60,1,177,3833,1916
0.60,1,178,3919,1959
0.60,1,179,3729,1864
0.60,1,180,3819,1909
0.60,1,181,3753,1876
0.60,1,182,3887,1943
0.60,1,183,3831,1915
0.60,1,184,3891,1945
0.60,1,185,1,0
0.60,1,186,3893,1946
0.60,1,187,3867,1933
0.60,1,188,3783,1891
0.60,1,189,3937,1968
0.60,1,190,3885,1942
0.60,1,191,3861,1930
0.60,1,192,3881,1940
0.60,1,193,3887,1943
0.60,1,194,3903,1951
0.60,1,195,3,1
0.60,1,196,3753,1876
0.60,1,197,3807,1903
0.60,1,198,3711,1855
0.60,1,199,3883,1941
0.60,1,200,3509,1754
