cell,seed,dom,alive,fuel,hoard
carrion_t_k8,51,DEAD,0,24,α:3.44;β:4.16
carrion_t_k8,52,DEAD,0,24,α:4.00;β:4.51
carrion_t_k8,53,DEAD,0,24,α:3.23;β:3.88
carrion_t_k8,54,DEAD,0,24,α:2.64;β:4.44
carrion_t_k8,55,DEAD,0,24,α:3.96;β:2.54
carrion_t_k8,56,DEAD,0,24,α:4.34;β:4.00
carrion_t_k8,57,DEAD,0,24,α:4.75;β:3.15
carrion_t_k8,58,DEAD,0,24,α:2.86;β:4.63
carrion_t_k8,59,DEAD,0,24,α:3.46;β:3.27
carrion_t_k8,60,DEAD,0,24,α:4.38;β:4.22
convpriced_k2,1,β,14,19,α:0.69;β:5.50
convpriced_k2,2,α,15,6,α:2.69;β:1.04
convpriced_k2,3,α,18,5,α:2.84;β:0.93
convpriced_k2,4,DEAD,0,24,α:3.29;β:2.49
convpriced_k2,5,β,18,11,α:0.81;β:4.90
convpriced_k2,6,α,18,4,α:3.21;β:0.79
convpriced_k2,7,α,9,12,α:3.59;β:0.68
convpriced_k2,8,DEAD,0,24,α:3.01;β:1.23
convpriced_k2,9,β,15,14,α:0.79;β:4.92
convpriced_k2,10,α,20,1,α:3.07;β:0.99
convpriced_k2,11,α,18,4,α:3.14;β:0.82
convpriced_k2,12,DEAD,0,24,α:4.25;β:3.55
convpriced_k2,13,DEAD,0,24,α:2.42;β:5.46
convpriced_k2,14,DEAD,0,24,α:3.14;β:2.54
convpriced_k2,15,α,5,18,α:3.00;β:0.96
convpriced_k2,16,α,19,4,α:3.04;β:1.01
convpriced_k2,17,α,11,12,α:3.05;β:0.90
convpriced_k2,18,β,14,14,α:0.93;β:5.59
convpriced_k2,19,α,14,8,α:2.73;β:0.82
convpriced_k2,20,β,17,12,α:0.86;β:5.15
convpriced_k2,21,α,18,1,α:2.59;β:1.62
convpriced_k2,22,DEAD,0,24,α:4.21;β:2.19
convpriced_k2,23,DEAD,0,24,α:3.03;β:2.99
convpriced_k2,24,DEAD,0,24,α:3.06;β:2.43
convpriced_k2,25,DEAD,0,24,α:3.60;β:3.83
convpriced_k2,26,β,17,12,α:0.61;β:5.65
convpriced_k2,27,α,14,9,α:2.89;β:0.87
convpriced_k2,28,α,18,2,α:3.40;β:0.90
convpriced_k2,29,α,16,5,α:2.78;β:0.98
convpriced_k2,30,DEAD,0,24,α:3.09;β:4.25
convpriced_k2,31,DEAD,0,24,α:2.54;β:1.31
convpriced_k2,32,α,17,5,α:3.05;β:0.78
convpriced_k2,33,DEAD,0,24,α:3.06;β:1.08
convpriced_k2,34,α,6,18,α:3.04;β:1.23
convpriced_k2,35,DEAD,0,24,α:1.83;β:4.40
convpriced_k2,36,DEAD,0,24,α:1.15;β:5.32
convpriced_k2,37,α,5,24,α:2.68;β:1.45
convpriced_k2,38,β,16,13,α:0.85;β:5.88
convpriced_k2,39,α,15,10,α:3.04;β:1.22
convpriced_k2,40,DEAD,0,24,α:3.33;β:4.00
convpriced_k2,41,β,17,11,α:0.69;β:4.86
convpriced_k2,42,DEAD,0,24,α:1.08;β:4.52
convpriced_k2,43,DEAD,0,24,α:3.08;β:1.27
convpriced_k2,44,DEAD,0,24,α:5.08;β:3.62
convpriced_k2,45,α,13,10,α:3.30;β:0.91
convpriced_k2,46,α,9,15,α:2.20;β:1.37
convpriced_k2,47,β,12,17,α:0.96;β:4.85
convpriced_k2,48,α,13,8,α:2.65;β:1.40
convpriced_k2,49,DEAD,0,24,α:3.64;β:1.66
convpriced_k2,50,β,16,9,α:0.91;β:4.55
convpriced_k2,51,DEAD,0,24,α:1.43;β:3.89
convpriced_k2,52,α,16,4,α:2.91;β:1.24
convpriced_k2,53,α,15,6,α:3.13;β:1.14
convpriced_k2,54,α,14,3,α:3.31;β:1.07
convpriced_k2,55,DEAD,0,24,α:3.69;β:2.01
convpriced_k2,56,DEAD,0,24,α:2.94;β:2.45
convpriced_k2,57,β,4,24,α:0.89;β:4.67
convpriced_k2,58,α,22,0,α:3.11;β:0.76
