glyph,arm,seed,pre_cls,pre_p,outcome,exact
α,plain,178,FIXED,1,REPAIR,True
α,plain,179,FIXED,1,REPAIR,True
α,plain,180,FIXED,1,REPAIR,True
α,plain,181,FIXED,1,REPAIR,True
α,plain,182,FIXED,1,REPAIR,True
α,plain,183,FIXED,1,REPAIR,True
α,plain,184,FIXED,1,REPAIR,True
α,plain,185,FIXED,1,REPAIR,True
α,plain,186,FIXED,1,REPAIR,True
α,plain,187,FIXED,1,REPAIR,True
α,plain,188,FIXED,1,REPAIR,True
α,plain,189,FIXED,1,REPAIR,True
α,plain,190,FIXED,1,REPAIR,True
α,plain,191,FIXED,1,REPAIR,True
α,plain,192,FIXED,1,REPAIR,True
α,plain,193,FIXED,1,REPAIR,True
α,plain,194,FIXED,1,REPAIR,True
α,plain,195,FIXED,1,REPAIR,True
α,plain,196,FIXED,1,REPAIR,True
α,plain,197,FIXED,1,REPAIR,True
α,plain,198,FIXED,1,REPAIR,True
α,plain,199,FIXED,1,REPAIR,True
α,plain,200,FIXED,1,REPAIR,True
β,gated,1,TRANSLATION,6,REPAIR,True
β,gated,2,TRANSLATION,6,REPAIR,True
β,gated,3,TRANSLATION,6,REPAIR,True
β,gated,4,TRANSLATION,6,REPAIR,True
β,gated,5,TRANSLATION,6,REPAIR,True
β,gated,6,TRANSLATION,6,REPAIR,True
β,gated,7,TRANSLATION,6,REPAIR,True
β,gated,8,TRANSLATION,6,REPAIR,True
β,gated,9,TRANSLATION,6,REPAIR,True
β,gated,10,TRANSLATION,6,REPAIR,True
β,gated,11,TRANSLATION,6,REPAIR,True
β,gated,12,TRANSLATION,6,REPAIR,True
β,gated,13,TRANSLATION,6,REPAIR,True
β,gated,14,TRANSLATION,6,REPAIR,True
β,gated,15,TRANSLATION,6,REPAIR,True
β,gated,16,TRANSLATION,6,REPAIR,True
β,gated,17,TRANSLATION,6,REPAIR,True
β,gated,18,TRANSLATION,6,REPAIR,True
β,gated,19,TRANSLATION,6,REPAIR,True
β,gated,20,TRANSLATION,6,REPAIR,True
β,gated,21,TRANSLATION,6,REPAIR,True
β,gated,22,TRANSLATION,6,REPAIR,True
β,gated,23,TRANSLATION,6,REPAIR,True
β,gated,24,TRANSLATION,6,REPAIR,True
β,gated,25,TRANSLATION,6,REPAIR,True
β,gated,26,TRANSLATION,6,REPAIR,True
β,gated,27,TRANSLATION,6,REPAIR,True
β,gated,28,TRANSLATION,6,REPAIR,True
β,gated,29,TRANSLATION,6,REPAIR,True
β,gated,30,TRANSLATION,6,REPAIR,True
β,gated,31,TRANSLATION,6,REPAIR,True
β,gated,32,TRANSLATION,6,REPAIR,True
β,gated,33,TRANSLATION,6,REPAIR,True
β,gated,34,TRANSLATION,6,REPAIR,True
β,gated,35,TRANSLATION,6,REPAIR,True
β,gated,36,TRANSLATION,6,REPAIR,True
β,gated,37,TRANSLATION,6,REPAIR,True
β,gated,38,TRANSLATION,6,REPAIR,True
β,gated,39,TRANSLATION,6,REPAIR,True
β,gated,40,TRANSLATION,6,REPAIR,True
β,gated,41,TRANSLATION,6,REPAIR,True
β,gated,42,TRANSLATION,6,REPAIR,True
β,gated,43,TRANSLATION,6,REPAIR,True
β,gated,44,TRANSLATION,6,REPAIR,True
β,gated,45,TRANSLATION,6,REPAIR,True
β,gated,46,TRANSLATION,6,REPAIR,True
β,gated,47,TRANSLATION,6,REPAIR,True
β,gated,48,TRANSLATION,6,REPAIR,True
β,gated,49,TRANSLATION,6,REPAIR,True
β,gated,50,TRANSLATION,6,REPAIR,True
β,gated,51,TRANSLATION,6,REPAIR,True
β,gated,52,TRANSLATION,6,REPAIR,True
β,gated,53,TRANSLATION,6,REPAIR,True
β,gated,54,TRANSLATION,6,REPAIR,True
β,gated,55,TRANSLATION,6,REPAIR,True
β,gated,56,TRANSLATION,6,REPAIR,True
β,gated,57,TRANSLATION,6,REPAIR,True
β,gated,58,TRANSLATION,6,REPAIR,True
β,gated,59,TRANSLATION,6,REPAIR,True
β,gated,60,TRANSLATION,6,REPAIR,True
β,gated,61,TRANSLATION,6,REPAIR,True
β,gated,62,TRANSLATION,6,REPAIR,True
β,gated,63,TRANSLATION,6,REPAIR,True
β,gated,64,TRANSLATION,6,REPAIR,True
β,gated,65,TRANSLATION,6,REPAIR,True
β,gated,66,TRANSLATION,6,REPAIR,True
β,gated,67,TRANSLATION,6,REPAIR,True
β,gated,68,TRANSLATION,6,REPAIR,True
β,gated,69,TRANSLATION,6,REPAIR,True
β,gated,70,TRANSLATION,6,REPAIR,True
β,gated,71,TRANSLATION,6,REPAIR,True
β,gated,72,TRANSLATION,6,REPAIR,True
β,gated,73,TRANSLATION,6,REPAIR,True
β,gated,74,TRANSLATION,6,REPAIR,True
β,gated,75,TRANSLATION,6,REPAIR,True
β,gated,76,TRANSLATION,6,REPAIR,True
β,gated,77,TRANSLATION,6,REPAIR,True
β,gated,78,TRANSLATION,6,REPAIR,True
β,gated,79,TRANSLATION,6,REPAIR,True
β,gated,80,TRANSLATION,6,REPAIR,True
β,gated,81,TRANSLATION,6,REPAIR,True
β,gated,82,TRANSLATION,6,REPAIR,True
β,gated,83,TRANSLATION,6,REPAIR,True
β,gated,84,TRANSLATION,6,REPAIR,True
β,gated,85,TRANSLATION,6,REPAIR,True
β,gated,86,TRANSLATION,6,REPAIR,True
β,gated,87,TRANSLATION,6,REPAIR,True
β,gated,88,TRANSLATION,6,REPAIR,True
β,gated,89,TRANSLATION,6,REPAIR,True
β,gated,90,TRANSLATION,6,REPAIR,True
β,gated,91,TRANSLATION,6,REPAIR,True
β,gated,92,TRANSLATION,6,REPAIR,True
β,gated,93,TRANSLATION,6,REPAIR,True
β,gated,94,TRANSLATION,6,REPAIR,True
β,gated,95,TRANSLATION,6,REPAIR,True
β,gated,96,TRANSLATION,6,REPAIR,True
β,gated,97,TRANSLATION,6,REPAIR,True
β,gated,98,TRANSLATION,6,REPAIR,True
β,gated,99,TRANSLATION,6,REPAIR,True
β,gated,100,TRANSLATION,6,REPAIR,True
β,gated,101,TRANSLATION,6,REPAIR,True
β,gated,102,TRANSLATION,6,REPAIR,True
β,gated,103,TRANSLATION,6,REPAIR,True
β,gated,104,TRANSLATION,6,REPAIR,True
β,gated,105,TRANSLATION,6,REPAIR,True
β,gated,106,TRANSLATION,6,REPAIR,True
β,gated,107,TRANSLATION,6,REPAIR,True
β,gated,108,TRANSLATION,6,REPAIR,True
β,gated,109,TRANSLATION,6,REPAIR,True
β,gated,110,TRANSLATION,6,REPAIR,True
β,gated,111,TRANSLATION,6,REPAIR,True
β,gated,112,TRANSLATION,6,REPAIR,True
β,gated,113,TRANSLATION,6,REPAIR,True
β,gated,114,TRANSLATION,6,REPAIR,True
β,gated,115,TRANSLATION,6,REPAIR,True
β,gated,116,TRANSLATION,6,REPAIR,True
β,gated,117,TRANSLATION,6,REPAIR,True
β,gated,118,TRANSLATION,6,REPAIR,True
β,gated,119,TRANSLATION,6,REPAIR,True
β,gated,120,TRANSLATION,6,REPAIR,True
β,gated,121,TRANSLATION,6,REPAIR,True
β,gated,122,TRANSLATION,6,REPAIR,True
β,gated,123,TRANSLATION,6,REPAIR,True
β,gated,124,TRANSLATION,6,REPAIR,True
β,gated,125,TRANSLATION,6,REPAIR,True
β,gated,126,TRANSLATION,6,REPAIR,True
β,gated,127,TRANSLATION,6,REPAIR,True
β,gated,128,TRANSLATION,6,REPAIR,True
β,gated,129,TRANSLATION,6,REPAIR,True
β,gated,130,TRANSLATION,6,REPAIR,True
β,gated,131,TRANSLATION,6,REPAIR,True
β,gated,132,TRANSLATION,6,REPAIR,True
β,gated,133,TRANSLATION,6,REPAIR,True
β,gated,134,TRANSLATION,6,REPAIR,True
β,gated,135,TRANSLATION,6,REPAIR,True
β,gated,136,TRANSLATION,6,REPAIR,True
β,gated,137,TRANSLATION,6,REPAIR,True
β,gated,138,TRANSLATION,6,REPAIR,True
β,gated,139,TRANSLATION,6,REPAIR,True
β,gated,140,TRANSLATION,6,REPAIR,True
β,gated,141,TRANSLATION,6,REPAIR,True
β,gated,142,TRANSLATION,6,REPAIR,True
β,gated,143,TRANSLATION,6,REPAIR,True
β,gated,144,TRANSLATION,6,REPAIR,True
β,gated,145,TRANSLATION,6,REPAIR,True
β,gated,146,TRANSLATION,6,REPAIR,True
β,gated,147,TRANSLATION,6,REPAIR,True
β,gated,148,TRANSLATION,6,REPAIR,True
β,gated,149,TRANSLATION,6,REPAIR,True
β,gated,150,TRANSLATION,6,REPAIR,True
β,gated,151,TRANSLATION,6,REPAIR,True
β,gated,152,TRANSLATION,6,REPAIR,True
β,gated,153,TRANSLATION,6,REPAIR,True
β,gated,154,TRANSLATION,6,REPAIR,True
β,gated,155,TRANSLATION,6,REPAIR,True
β,gated,156,TRANSLATION,6,REPAIR,True
β,gated,157,TRANSLATION,6,REPAIR,True
β,gated,158,TRANSLATION,6,REPAIR,True
β,gated,159,TRANSLATION,6,REPAIR,True
β,gated,160,TRANSLATION,6,REPAIR,True
β,gated,161,TRANSLATION,6,REPAIR,True
β,gated,162,TRANSLATION,6,REPAIR,True
β,gated,163,TRANSLATION,6,REPAIR,True
β,gated,164,TRANSLATION,6,REPAIR,True
β,gated,165,TRANSLATION,6,REPAIR,True
β,gated,166,TRANSLATION,6,REPAIR,True
β,gated,167,TRANSLATION,6,REPAIR,True
β,gated,168,TRANSLATION,6,REPAIR,True
β,gated,169,TRANSLATION,6,REPAIR,True
β,gated,170,TRANSLATION,6,REPAIR,True
β,gated,171,TRANSLATION,6,REPAIR,True
β,gated,172,TRANSLATION,6,REPAIR,True
β,gated,173,TRANSLATION,6,REPAIR,True
β,gated,174,TRANSLATION,6,REPAIR,True
β,gated,175,TRANSLATION,6,REPAIR,True
β,gated,176,TRANSLATION,6,REPAIR,True
β,gated,177,TRANSLATION,6,REPAIR,True
β,gated,178,TRANSLATION,6,REPAIR,True
β,gated,179,TRANSLATION,6,REPAIR,True
β,gated,180,TRANSLATION,6,REPAIR,True
β,gated,181,TRANSLATION,6,REPAIR,True
β,gated,182,TRANSLATION,6,REPAIR,True
β,gated,183,TRANSLATION,6,REPAIR,True
β,gated,184,TRANSLATION,6,REPAIR,True
β,gated,185,TRANSLATION,6,REPAIR,True
β,gated,186,TRANSLATION,6,REPAIR,True
β,gated,187,TRANSLATION,6,REPAIR,True
β,gated,188,TRANSLATION,6,REPAIR,True
β,gated,189,TRANSLATION,6,REPAIR,True
β,gated,190,TRANSLATION,6,REPAIR,True
β,gated,191,TRANSLATION,6,REPAIR,True
β,gated,192,TRANSLATION,6,REPAIR,True
β,gated,193,TRANSLATION,6,REPAIR,True
β,gated,194,TRANSLATION,6,REPAIR,True
β,gated,195,TRANSLATION,6,REPAIR,True
β,gated,196,TRANSLATION,6,REPAIR,True
β,gated,197,TRANSLATION,6,REPAIR,True
β,gated,198,TRANSLATION,6,REPAIR,True
β,gated,199,TRANSLATION,6,REPAIR,True
β,gated,200,TRANSLATION,6,REPAIR,True
β,plain,1,TRANSLATION,6,REPAIR,True
β,plain,2,TRANSLATION,6,REPAIR,True
