eco,seed,dom,tape_ext,n_applies,spends,looted,repairs,q_g_spend,feeds_q,alive_q
mix,55,DEAD,599,601,α.prime:11;β.prime:13;β.f:81;α.f:3;α.g:1;β.g:58,β:3,β:78;α:1,0α:1;0β:5;1β:21;2β:21;3β:11,37;45;41;44,24;11;13;16
mix,56,DEAD,197,198,α.prime:13;β.prime:11;α.f:14;β.f:4;β.g:3;α.g:6,,β:4;α:6,1β:2;2α:6;2β:1,0;20;15;16,24;23;15;15
mix,57,β,,744,β.prime:11;α.prime:13;α.f:5;β.f:103;β.g:81;α.g:2,β:4,β:108;α:2,0β:8;0α:2;1β:27;2β:23;3β:23,49;52;55;54,24;6;16;9
mix,58,DEAD,220,220,α.prime:12;β.prime:12;β.f:15;α.f:4;β.g:13,β:5,β:15,1β:3;2β:6;3β:4,2;21;17;16,24;22;15;11
mix,59,DEAD,374,374,α.prime:13;β.prime:11;β.f:19;β.g:18;α.f:32;α.g:12,β:3;α:10,β:21;α:19,0β:2;0α:1;1β:8;1α:5;2β:8;2α:2;3α:4,16;28;30;31,24;18;18;13
mix,60,DEAD,510,510,β.prime:13;α.prime:11;β.f:3;α.f:71;α.g:54,α:6,α:67,0α:1;1α:18;2α:22;3α:13,30;40;40;42,24;10;10;14
mix,61,DEAD,596,596,β.prime:13;α.prime:11;β.f:11;α.f:79;β.g:4;α.g:61,β:1;α:8,β:6;α:75,0β:4;0α:1;1α:19;2α:21;3α:20,36;47;48;48,24;10;9;8
mix,62,DEAD,260,260,α.prime:12;β.prime:12;α.f:6;β.f:22;β.g:15,β:5,β:22,1β:1;2β:9;3β:5,6;27;15;19,24;20;8;12
mix,63,β,,722,α.prime:11;β.prime:13;β.f:104;α.f:11;α.g:6;β.g:67,β:5,α:8;β:106,0α:6;0β:5;1β:20;2β:21;3β:21,45;51;51;51,24;11;13;15
mix,64,DEAD,287,287,α.prime:13;β.prime:11;α.f:24;β.f:12;β.g:7;α.g:14,α:5,β:8;α:16,1β:4;1α:3;2β:3;2α:7;3α:4,10;24;23;24,24;19;13;14
mix,65,DEAD,514,514,α.prime:12;β.prime:12;α.f:64;β.f:13;β.g:8;α.g:40,β:3;α:8,β:13;α:56,0β:5;1α:10;1β:3;2α:15;3α:15,27;39;42;41,24;14;11;9
mix,66,DEAD,278,278,β.prime:10;α.prime:14;β.f:11;α.f:18;α.g:12;β.g:10,α:1;β:3,α:12;β:12,1α:3;1β:4;2β:5;2α:6;3β:1;3α:3,8;22;24;21,24;19;14;17
mix,67,DEAD,140,141,α.prime:12;β.prime:12;α.f:7;α.g:1,,α:1,2α:1,0;8;13;11,24;24;19;12
