arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
sloppy_e005,19,True,18,15,7,2,22,1279,6201,True
sloppy_e005,20,True,21,5,16,3,24,1124,6201,True
sloppy_e005,21,False,0,14,0,10,0,-1,1486,True
sloppy_e005,22,True,20,19,3,2,18,1140,6201,True
sloppy_e005,23,False,0,13,0,11,0,-1,2054,True
sloppy_e005,24,False,0,12,0,12,0,-1,1333,True
sloppy_e005,25,False,0,13,0,11,0,-1,1053,True
sloppy_e005,26,False,0,14,0,10,0,-1,1776,True
sloppy_e005,27,True,22,10,12,2,23,1458,6201,True
sloppy_e005,28,False,0,13,0,11,0,-1,1365,True
sloppy_e005,29,False,0,13,0,11,0,-1,940,True
sloppy_e005,30,False,0,16,0,8,0,-1,1407,True
sloppy_e005,31,False,0,13,0,11,0,-1,1713,True
sloppy_e005,32,False,0,14,0,10,0,-1,1169,True
sloppy_e005,33,False,0,11,0,13,0,-1,1251,True
sloppy_e005,34,False,0,13,0,11,0,-1,1151,True
sloppy_e005,35,False,0,14,0,10,0,-1,1067,True
sloppy_e005,36,False,0,15,0,9,0,-1,1680,True
sloppy_e005,37,False,0,15,0,9,0,-1,1093,True
sloppy_e005,38,False,0,13,0,11,0,1084,1853,True
sloppy_e005,39,False,0,11,0,13,0,-1,1265,True
sloppy_e005,40,False,0,11,0,13,0,-1,1295,True
sloppy_e005,41,False,0,16,0,8,0,-1,1484,True
sloppy_e005,42,False,0,14,0,10,0,-1,1283,True
sloppy_e005,43,False,0,16,0,8,0,-1,1568,True
sloppy_e005,44,False,0,13,0,11,0,-1,1390,True
sloppy_e005,45,False,0,12,0,12,0,-1,1065,True
sloppy_e005,46,False,0,13,0,11,0,-1,1624,True
sloppy_e005,47,False,0,12,0,12,0,-1,1214,True
sloppy_e005,48,False,0,12,0,12,0,-1,1181,True
sloppy_e005,49,False,0,14,0,10,0,-1,1150,True
sloppy_e005,50,False,0,14,0,10,0,-1,1567,True
sloppy_e005,51,False,0,12,0,12,0,-1,1279,True
sloppy_e005,52,False,0,14,0,10,0,-1,1135,True
sloppy_e005,53,False,0,14,0,10,0,-1,1607,True
sloppy_e005,54,False,0,14,0,10,0,-1,1336,True
sloppy_e005,55,False,0,12,0,12,0,-1,1444,True
sloppy_e005,56,False,0,12,0,12,0,-1,1706,True
sloppy_e005,57,False,0,13,0,11,0,-1,1378,True
sloppy_e005,58,False,0,13,0,11,0,-1,1438,True
sloppy_e005,59,False,0,14,0,10,0,-1,1092,True
sloppy_e005,60,False,0,13,0,11,0,-1,1612,True
sloppy_e005,61,False,0,14,0,10,0,-1,1603,True
sloppy_e005,62,False,0,14,0,10,0,-1,1142,True
sloppy_e005,63,False,0,12,0,12,0,-1,1428,True
sloppy_e005,64,False,0,14,0,10,0,-1,1345,True
sloppy_e005,65,False,0,13,0,11,0,-1,1192,True
sloppy_e005,66,False,0,15,0,9,0,-1,1787,True
sloppy_e005,67,False,0,13,0,11,0,-1,1379,True
sloppy_e005,68,False,0,12,0,12,0,-1,1261,True
sloppy_e005,69,False,0,14,0,10,0,-1,1189,True
sloppy_e005,70,False,0,14,0,10,0,-1,1191,True
sloppy_e005,71,False,0,14,0,10,0,-1,1127,True
sloppy_e005,72,False,0,13,0,11,0,-1,1497,True
sloppy_e005,73,True,19,7,16,1,21,1214,6201,True
sloppy_e005,74,False,0,13,0,11,0,-1,1249,True
sloppy_e005,75,False,0,14,0,10,0,1364,4674,True
sloppy_e005,76,False,0,12,0,12,0,-1,1566,True
sloppy_e005,77,True,20,20,4,0,17,1562,6201,True
sloppy_e005,78,False,0,11,0,13,0,-1,1232,True
sloppy_e005,79,True,19,17,6,1,17,1331,6201,True
sloppy_e005,80,False,0,11,0,13,0,-1,1450,True
sloppy_e005,81,False,0,15,0,9,0,-1,1531,True
sloppy_e005,82,True,12,20,3,1,19,1207,6201,True
sloppy_e005,83,False,0,13,0,11,0,-1,1392,True
sloppy_e005,84,False,0,12,0,12,0,-1,1161,True
sloppy_e005,85,False,0,14,0,10,0,-1,1246,True
sloppy_e005,86,False,0,15,0,9,0,-1,1422,True
sloppy_e005,87,False,0,15,0,9,0,-1,1386,True
sloppy_e005,88,False,0,16,0,8,0,-1,1424,True
sloppy_e005,89,False,0,14,0,10,0,-1,1355,True
sloppy_e005,90,False,0,14,0,10,0,-1,1554,True
sloppy_e005,91,False,0,14,0,10,0,1179,1914,True
sloppy_e005,92,False,0,14,0,10,0,-1,1648,True
sloppy_e005,93,False,0,11,0,13,0,-1,1720,True
sloppy_e005,94,False,0,14,0,10,0,-1,1343,True
sloppy_e005,95,False,0,13,0,11,0,-1,1175,True
sloppy_e005,96,False,0,13,0,11,0,-1,1194,True
sloppy_e005,97,False,0,11,0,13,0,-1,1074,True
sloppy_e005,98,True,18,8,15,1,23,1409,6201,True
sloppy_e005,99,False,0,12,0,12,0,-1,1066,True
sloppy_e005,100,False,0,13,0,11,0,-1,1304,True
sloppy_e02,1,True,16,12,10,2,21,1327,6201,True
sloppy_e02,2,False,0,15,0,9,0,-1,1228,True
sloppy_e02,3,True,16,10,11,3,23,1214,6201,True
sloppy_e02,4,True,18,7,15,2,22,1295,6201,True
sloppy_e02,5,True,20,8,15,1,24,1149,6201,True
sloppy_e02,6,False,0,12,0,12,0,-1,1224,True
sloppy_e02,7,True,16,10,13,1,22,1094,6201,True
sloppy_e02,8,False,0,12,0,12,0,-1,1101,True
sloppy_e02,9,True,17,8,15,1,23,1092,6201,True
sloppy_e02,10,True,18,18,5,1,22,1114,6201,True
sloppy_e02,11,True,21,12,11,1,23,1164,6201,True
sloppy_e02,12,False,0,13,0,11,0,-1,1662,True
sloppy_e02,13,False,0,10,0,14,0,-1,996,True
sloppy_e02,14,False,0,14,0,10,0,-1,990,True
sloppy_e02,15,False,0,12,0,12,0,-1,1280,True
sloppy_e02,16,True,19,12,11,1,20,1050,6201,True
sloppy_e02,17,False,0,13,0,11,0,-1,1289,True
sloppy_e02,18,False,0,15,0,9,0,-1,1771,True
sloppy_e02,19,True,16,15,9,0,22,1279,6201,True
sloppy_e02,20,True,22,14,6,4,19,1124,6201,True
sloppy_e02,21,True,18,14,9,1,22,1134,6201,True
sloppy_e02,22,True,20,15,9,0,23,1140,6201,True
sloppy_e02,23,True,20,8,16,0,22,1321,6201,True
sloppy_e02,24,False,0,12,0,12,0,-1,1333,True
sloppy_e02,25,False,0,13,0,11,0,-1,1053,True
sloppy_e02,26,True,20,14,10,0,21,1129,6201,True
sloppy_e02,27,True,21,17,5,2,20,1427,6201,True
sloppy_e02,28,False,0,13,0,11,0,-1,1365,True
sloppy_e02,29,False,0,13,0,11,0,-1,940,True
sloppy_e02,30,False,0,16,0,8,0,-1,1407,True
sloppy_e02,31,True,20,18,5,1,20,1153,6201,True
sloppy_e02,32,False,0,14,0,10,0,-1,1169,True
sloppy_e02,33,False,0,11,0,13,0,-1,1251,True
sloppy_e02,34,False,0,13,0,11,0,-1,1151,True
sloppy_e02,35,False,0,14,0,10,0,-1,1067,True
sloppy_e02,36,False,0,15,0,9,0,-1,1680,True
